Carrier_Airline,Tail_Number,Origin,Dest,Schedule_DateTime,Flight_Duration_Minutes,Flight_Delay,Orientation
OH,N510AE,CLT,BDL,2022-03-01 20:15:00,122.0,-1.0,East-West
OH,N512AE,CLT,BDL,2022-03-02 20:15:00,122.0,-13.0,East-West
OH,N593NN,CLT,BDL,2022-03-03 20:17:00,123.0,-18.0,East-West
OH,N567NN,CLT,BDL,2022-03-04 20:17:00,123.0,-13.0,East-West
OH,N587NN,CLT,BDL,2022-03-05 20:17:00,123.0,1.0,East-West
OH,N551NN,CLT,BDL,2022-03-06 20:17:00,123.0,0.0,East-West
OH,N570NN,CLT,BDL,2022-03-07 20:17:00,123.0,-6.0,East-West
OH,N577NN,CLT,BDL,2022-03-08 20:17:00,123.0,-11.0,East-West
OH,N562NN,CLT,BDL,2022-03-09 20:17:00,123.0,-20.0,East-West
OH,N565NN,CLT,BDL,2022-03-10 20:17:00,123.0,-21.0,East-West
OH,N611NN,CLT,BDL,2022-03-11 20:17:00,123.0,60.0,East-West
OH,N558NN,CLT,BDL,2022-03-12 20:17:00,123.0,21.0,East-West
OH,N547NN,CLT,BDL,2022-03-13 20:17:00,123.0,-4.0,East-West
OH,N562NN,CLT,BDL,2022-03-14 20:17:00,123.0,35.0,East-West
OH,N603NN,CLT,BDL,2022-03-15 20:17:00,123.0,-16.0,East-West
OH,N574NN,CLT,BDL,2022-03-16 20:17:00,123.0,-17.0,East-West
OH,N600NN,CLT,BDL,2022-03-17 20:17:00,123.0,0.0,East-West
OH,N610NN,CLT,BDL,2022-03-18 20:17:00,123.0,23.0,East-West
OH,N598NN,CLT,BDL,2022-03-19 20:17:00,123.0,-18.0,East-West
OH,N613NN,CLT,BDL,2022-03-20 20:17:00,123.0,-21.0,East-West
OH,N592NN,CLT,BDL,2022-03-21 20:17:00,123.0,-19.0,East-West
OH,N552NN,CLT,BDL,2022-03-22 20:17:00,123.0,-21.0,East-West
OH,N554NN,CLT,BDL,2022-03-23 20:17:00,123.0,-21.0,East-West
OH,N602NN,CLT,BDL,2022-03-24 20:17:00,123.0,-7.0,East-West
OH,N561NN,CLT,BDL,2022-03-25 20:17:00,123.0,24.0,East-West
OH,N585NN,CLT,BDL,2022-03-26 20:17:00,123.0,37.0,East-West
OH,N602NN,CLT,BDL,2022-03-27 20:17:00,123.0,-7.0,East-West
OH,N599NN,CLT,BDL,2022-03-28 20:17:00,123.0,-16.0,East-West
OH,N560NN,CLT,BDL,2022-03-29 20:17:00,123.0,-1.0,East-West
OH,N613NN,CLT,BDL,2022-03-30 20:17:00,123.0,-4.0,East-West
OH,N557NN,CLT,BDL,2022-03-31 20:17:00,123.0,-12.0,East-West
OH,N608NN,CLT,IND,2022-03-01 13:10:00,112.0,2.0,East-West
OH,N605NN,CLT,IND,2022-03-02 11:30:00,115.0,1.0,East-West
OH,N608NN,CLT,IND,2022-03-03 13:10:00,111.0,-21.0,East-West
OH,N562NN,CLT,IND,2022-03-04 13:10:00,111.0,-16.0,East-West
OH,N606NN,CLT,IND,2022-03-05 13:10:00,111.0,-23.0,East-West
OH,N565NN,CLT,IND,2022-03-06 13:10:00,111.0,-12.0,East-West
OH,N558NN,CLT,IND,2022-03-07 13:10:00,111.0,10.0,East-West
OH,N594NN,CLT,IND,2022-03-08 13:10:00,111.0,-1.0,East-West
OH,N615NN,CLT,IND,2022-03-09 13:10:00,111.0,-15.0,East-West
OH,N585NN,CLT,IND,2022-03-10 13:10:00,111.0,1.0,East-West
OH,N590NN,CLT,IND,2022-03-11 13:10:00,111.0,-10.0,East-West
OH,N614NN,CLT,IND,2022-03-12 13:10:00,111.0,149.0,East-West
OH,N606NN,CLT,IND,2022-03-13 13:10:00,111.0,4.0,East-West
OH,N608NN,CLT,IND,2022-03-14 13:10:00,111.0,11.0,East-West
OH,N552NN,CLT,IND,2022-03-15 13:10:00,111.0,-15.0,East-West
OH,N548NN,CLT,IND,2022-03-16 13:10:00,111.0,-15.0,East-West
OH,N559NN,CLT,IND,2022-03-17 13:10:00,111.0,-19.0,East-West
OH,N563NN,CLT,IND,2022-03-18 13:10:00,111.0,-5.0,East-West
OH,N609NN,CLT,IND,2022-03-19 13:10:00,111.0,-13.0,East-West
OH,N609NN,CLT,IND,2022-03-20 13:10:00,111.0,-7.0,East-West
OH,N609NN,CLT,IND,2022-03-21 13:10:00,111.0,-19.0,East-West
OH,N580NN,CLT,IND,2022-03-22 13:10:00,111.0,-10.0,East-West
OH,N607NN,CLT,IND,2022-03-23 13:10:00,111.0,-11.0,East-West
OH,N552NN,CLT,IND,2022-03-24 13:10:00,111.0,-12.0,East-West
OH,N603NN,CLT,IND,2022-03-25 13:10:00,111.0,-4.0,East-West
OH,N579NN,CLT,IND,2022-03-26 13:10:00,111.0,-18.0,East-West
OH,N548NN,CLT,IND,2022-03-27 13:10:00,111.0,-13.0,East-West
OH,N574NN,CLT,IND,2022-03-28 13:10:00,111.0,-13.0,East-West
OH,N577NN,CLT,IND,2022-03-29 13:10:00,111.0,-16.0,East-West
OH,N580NN,CLT,IND,2022-03-30 13:10:00,111.0,-21.0,East-West
OH,N575NN,CLT,IND,2022-03-31 13:10:00,111.0,-1.0,East-West
OH,N608NN,IND,CLT,2022-03-03 15:33:00,102.0,-11.0,East-West
OH,N562NN,IND,CLT,2022-03-04 15:33:00,102.0,-13.0,East-West
OH,N606NN,IND,CLT,2022-03-05 15:33:00,102.0,-10.0,East-West
OH,N565NN,IND,CLT,2022-03-06 15:33:00,102.0,-16.0,East-West
OH,N604NN,IND,CLT,2022-03-07 15:33:00,102.0,143.0,East-West
OH,N594NN,IND,CLT,2022-03-08 15:33:00,102.0,7.0,East-West
OH,N615NN,IND,CLT,2022-03-09 15:33:00,102.0,9.0,East-West
OH,N585NN,IND,CLT,2022-03-10 15:33:00,102.0,6.0,East-West
OH,N590NN,IND,CLT,2022-03-11 15:33:00,102.0,16.0,East-West
OH,N614NN,IND,CLT,2022-03-12 15:33:00,102.0,153.0,East-West
OH,N606NN,IND,CLT,2022-03-13 15:33:00,102.0,8.0,East-West
OH,N608NN,IND,CLT,2022-03-14 15:33:00,102.0,13.0,East-West
OH,N552NN,IND,CLT,2022-03-15 15:33:00,102.0,-1.0,East-West
OH,N548NN,IND,CLT,2022-03-16 15:33:00,102.0,11.0,East-West
OH,N559NN,IND,CLT,2022-03-17 15:33:00,102.0,-14.0,East-West
OH,N563NN,IND,CLT,2022-03-18 15:33:00,102.0,1.0,East-West
OH,N609NN,IND,CLT,2022-03-19 15:33:00,102.0,-6.0,East-West
OH,N609NN,IND,CLT,2022-03-20 15:33:00,102.0,-6.0,East-West
OH,N609NN,IND,CLT,2022-03-21 15:33:00,102.0,-6.0,East-West
OH,N580NN,IND,CLT,2022-03-22 15:33:00,102.0,-8.0,East-West
OH,N607NN,IND,CLT,2022-03-23 15:33:00,102.0,56.0,East-West
OH,N552NN,IND,CLT,2022-03-24 15:33:00,102.0,-9.0,East-West
OH,N603NN,IND,CLT,2022-03-25 15:33:00,102.0,-3.0,East-West
OH,N579NN,IND,CLT,2022-03-26 15:33:00,102.0,-19.0,East-West
OH,N548NN,IND,CLT,2022-03-27 15:33:00,102.0,-14.0,East-West
OH,N574NN,IND,CLT,2022-03-28 15:33:00,102.0,-8.0,East-West
OH,N577NN,IND,CLT,2022-03-29 15:33:00,102.0,-8.0,East-West
OH,N580NN,IND,CLT,2022-03-30 15:33:00,102.0,3.0,East-West
OH,N575NN,IND,CLT,2022-03-31 15:33:00,102.0,3.0,East-West
OH,N575NN,CLT,MEM,2022-03-05 11:17:00,127.0,-9.0,East-West
OH,N571NN,CLT,MEM,2022-03-12 11:17:00,127.0,38.0,East-West
OH,N563NN,CLT,MEM,2022-03-19 11:17:00,127.0,6.0,East-West
OH,N588NN,CLT,MEM,2022-03-26 11:17:00,127.0,-17.0,East-West
OH,N703PS,DCA,HSV,2022-03-01 07:39:00,132.0,-21.0,East-West
OH,N523AE,DCA,HSV,2022-03-02 07:39:00,132.0,-22.0,East-West
OH,N531EG,DCA,HSV,2022-03-03 07:39:00,122.0,-21.0,East-West
OH,N551NN,DCA,HSV,2022-03-04 07:39:00,122.0,-14.0,East-West
OH,N511AE,DCA,HSV,2022-03-07 07:39:00,122.0,-9.0,East-West
OH,N710PS,DCA,HSV,2022-03-08 07:39:00,122.0,6.0,East-West
OH,N529EA,DCA,HSV,2022-03-09 07:39:00,122.0,11.0,East-West
OH,N502AE,DCA,HSV,2022-03-10 07:39:00,122.0,-8.0,East-West
OH,N712PS,DCA,HSV,2022-03-11 07:39:00,122.0,30.0,East-West
OH,N542EA,DCA,HSV,2022-03-14 07:39:00,122.0,62.0,East-West
OH,N502AE,DCA,HSV,2022-03-15 07:39:00,122.0,-11.0,East-West
OH,N718PS,DCA,HSV,2022-03-16 07:39:00,122.0,-18.0,East-West
OH,N503AE,DCA,HSV,2022-03-17 07:39:00,122.0,-18.0,East-West
OH,N716PS,DCA,HSV,2022-03-21 07:39:00,122.0,1.0,East-West
OH,N543EA,DCA,HSV,2022-03-22 07:39:00,122.0,-2.0,East-West
OH,N531EG,DCA,HSV,2022-03-23 07:39:00,122.0,-2.0,East-West
OH,N546FF,DCA,HSV,2022-03-24 07:39:00,122.0,2.0,East-West
OH,N723PS,DCA,HSV,2022-03-25 07:39:00,122.0,-15.0,East-West
OH,N542EA,DCA,HSV,2022-03-28 07:39:00,122.0,-8.0,East-West
OH,N710PS,DCA,HSV,2022-03-29 07:39:00,122.0,-22.0,East-West
OH,N545PB,DCA,HSV,2022-03-30 07:39:00,122.0,-5.0,East-West
OH,N719PS,DCA,HSV,2022-03-31 07:39:00,122.0,44.0,East-West
OH,N575NN,MEM,CLT,2022-03-05 13:00:00,105.0,-11.0,East-West
OH,N563NN,MEM,CLT,2022-03-19 13:00:00,105.0,4.0,East-West
OH,N588NN,MEM,CLT,2022-03-26 13:00:00,105.0,-6.0,East-West
