Carrier_Airline,Tail_Number,Origin,Dest,Schedule_DateTime,Flight_Duration_Minutes,Flight_Delay,Orientation
OH,N705PS,SHV,CLT,2022-03-31 15:36:00,134.0,29.0,East-West
OH,N706PS,CLT,ITH,2022-03-31 20:51:00,123.0,-27.0,North-South
OH,N708PS,DCA,PHL,2022-03-13 18:00:00,63.0,86.0,East-West
OH,N709PS,HSV,DCA,2022-03-31 10:05:00,113.0,43.0,East-West
OH,N710PS,HPN,DCA,2022-03-31 17:29:00,73.0,8.0,East-West
OH,N712PS,CAK,CLT,2022-03-31 08:50:00,104.0,10.0,North-South
OH,N716PS,DCA,CAK,2022-03-27 19:17:00,74.0,15.0,East-West
OH,N718PS,TRI,CLT,2022-03-31 19:52:00,66.0,-23.0,East-West
OH,N719PS,DCA,HSV,2022-03-31 07:39:00,122.0,44.0,East-West
OH,N720PS,TYS,DCA,2022-03-31 14:44:00,97.0,-1.0,East-West
OH,N723PS,DCA,SYR,2022-03-29 16:01:00,80.0,23.0,North-South
OH,N725PS,SAV,DCA,2022-03-19 11:13:00,102.0,21.0,North-South
