Year,Month,DayofMonth,DayOfWeek,FlightDate,Carrier_Airline,Tail_Number,Origin,Dest,CRSDepTime,DepTime,DepDelay,CRSArrTime,ArrTime,ArrDelay,Cancelled,Diverted,CRSElapsedTime,ActualElapsedTime,Distance,CRSDepTimeHour,CRSDepTimeMinute,CRSArrTimeHour,CRSArrTimeMinute,Schedule_DateTime,Flight_Duration_Minutes,Flight_Delay,Orientation
2022,3,31,4,2022-03-31,OH,N552NN,SDF,CLT,1751,1746.0,-5.0,1925,1905.0,-20.0,0.0,0.0,94.0,79.0,335.0,17,51,19,25,2022-03-31 17:51:00,94.0,-20.0,Unknown
2022,3,24,4,2022-03-24,OH,N553NN,CLT,TYS,2020,2015.0,-5.0,2130,2124.0,-6.0,0.0,0.0,70.0,69.0,177.0,20,20,21,30,2022-03-24 20:20:00,70.0,-6.0,Unknown
2022,3,31,4,2022-03-31,OH,N554NN,BNA,CLT,1720,1723.0,3.0,1950,1947.0,-3.0,0.0,0.0,90.0,84.0,328.0,17,20,19,50,2022-03-31 17:20:00,90.0,-3.0,Unknown
2022,3,29,2,2022-03-29,OH,N555NN,GSP,CLT,1815,1812.0,-3.0,1918,1928.0,10.0,0.0,0.0,63.0,76.0,75.0,18,15,19,18,2022-03-29 18:15:00,63.0,10.0,Unknown
2022,3,27,7,2022-03-27,OH,N556NN,PHL,MCI,1530,1707.0,97.0,1732,1859.0,87.0,0.0,0.0,182.0,172.0,1038.0,15,30,17,32,2022-03-27 15:30:00,182.0,87.0,Unknown
2022,3,27,7,2022-03-27,OH,N557NN,DFW,LIT,2240,2231.0,-9.0,2357,2354.0,-3.0,0.0,0.0,77.0,83.0,304.0,22,40,23,57,2022-03-27 22:40:00,77.0,-3.0,Unknown
2022,3,28,1,2022-03-28,OH,N558NN,DCA,MHT,2210,2307.0,57.0,2343,32.0,49.0,0.0,0.0,93.0,85.0,406.0,22,10,23,43,2022-03-28 22:10:00,93.0,49.0,Unknown
2022,3,28,1,2022-03-28,OH,N559NN,MYR,CLT,1430,1425.0,-5.0,1539,1533.0,-6.0,0.0,0.0,69.0,68.0,157.0,14,30,15,39,2022-03-28 14:30:00,69.0,-6.0,Unknown
2022,3,30,3,2022-03-30,OH,N560NN,STL,DCA,1056,1251.0,115.0,1359,1547.0,108.0,0.0,0.0,123.0,116.0,719.0,10,56,13,59,2022-03-30 10:56:00,123.0,108.0,Unknown
2022,3,27,7,2022-03-27,OH,N561NN,PHL,CVG,1945,2344.0,239.0,2143,132.0,229.0,0.0,0.0,118.0,108.0,507.0,19,45,21,43,2022-03-27 19:45:00,118.0,229.0,Unknown
2022,3,31,4,2022-03-31,OH,N562NN,DFW,LIT,2240,2229.0,-11.0,2357,2342.0,-15.0,0.0,0.0,77.0,73.0,304.0,22,40,23,57,2022-03-31 22:40:00,77.0,-15.0,Unknown
2022,3,31,4,2022-03-31,OH,N563NN,AGS,CLT,0515,511.0,-4.0,0613,605.0,-8.0,0.0,0.0,58.0,54.0,140.0,5,15,6,13,2022-03-31 05:15:00,58.0,-8.0,Unknown
2022,3,31,4,2022-03-31,OH,N564NN,SDF,CLT,1159,1152.0,-7.0,1342,1331.0,-11.0,0.0,0.0,103.0,99.0,335.0,11,59,13,42,2022-03-31 11:59:00,103.0,-11.0,Unknown
2022,3,29,2,2022-03-29,OH,N565NN,MYR,CLT,1430,1418.0,-12.0,1539,1522.0,-17.0,0.0,0.0,69.0,64.0,157.0,14,30,15,39,2022-03-29 14:30:00,69.0,-17.0,Unknown
